
Task: HTH, Context: General, Phase1

RMSE table for best cycles selection:
Angles:	Cycle 1	Cycle 2	Cycle 3	Cycle 4	Cycle 5	Cycle 6	
LElevationplaneH1	7.245120	5.229126	7.080740	3.128069	3.098591	6.301630	
LShoulderElevationH1	5.208908	8.360351	4.112458	3.713334	3.634719	2.670247	
LShoulderRotationH1	2.397238	5.283105	2.414481	2.780329	3.374668	5.508185	
LElbowFlExt	3.799842	6.407312	17.837039	4.796115	4.385350	15.348358	
LElbowProSupination	8.548394	4.832020	13.937472	12.540284	4.267383	4.884782	
LWristFlExt	8.832631	4.606001	8.063884	5.082050	10.776125	12.430876	
LWristDeviation	8.050315	2.949435	5.435927	4.063476	5.192898	5.769932	
LScapProRetraction	5.803601	1.665956	4.551129	3.203709	1.882398	2.090448	
LScapRotation	2.542698	3.170339	0.843903	2.469233	1.717366	1.682546	
LScapTilting	2.686223	2.182003	0.929415	1.142949	0.854334	3.345261	
LTrunkFlExt	1.132191	1.632844	0.301211	1.805227	1.923402	1.986502	
LTrunkLateralFl	2.005287	0.934517	2.041469	1.907895	0.750731	1.553536	
LTrunkAxialRotation	2.184271	0.978685	1.064645	3.828796	2.260399	1.741189	

RMSE table VS, best cycle 1:
Angles:	Raw AVS	ln(AVS)	
LElevationplaneH1	12.039374	2.488182	
LShoulderElevationH1	18.117119	2.896857	
LShoulderRotationH1	13.609748	2.610786	
LElbowFlExt	18.522025	2.918961	
LElbowProSupination	5.820905	1.761456	
LWristFlExt	17.227517	2.846508	
LWristDeviation	13.809510	2.625357	
LScapProRetraction	5.164474	1.641803	
LScapRotation	8.095217	2.091273	
LScapTilting	5.835980	1.764042	
LTrunkFlExt	1.502765	0.407307	
LTrunkLateralFl	2.994733	1.096855	
LTrunkAxialRotation	10.112241	2.313747	
PS	11.644038	2.454794	

RMSE table VS, best cycle 2:
Angles:	Raw AVS	ln(AVS)	
LElevationplaneH1	10.703466	2.370568	
LShoulderElevationH1	9.594454	2.261185	
LShoulderRotationH1	8.604789	2.152319	
LElbowFlExt	11.039054	2.401439	
LElbowProSupination	7.951581	2.073371	
LWristFlExt	9.989472	2.301532	
LWristDeviation	10.657235	2.366239	
LScapProRetraction	5.415123	1.689196	
LScapRotation	5.199606	1.648583	
LScapTilting	6.878186	1.928355	
LTrunkFlExt	4.336153	1.466988	
LTrunkLateralFl	3.927711	1.368057	
LTrunkAxialRotation	7.828442	2.057764	
PS	8.219570	2.106518	

RMSE table VS, best cycle 3:
Angles:	Raw AVS	ln(AVS)	
LElevationplaneH1	8.293905	2.115521	
LShoulderElevationH1	13.430203	2.597506	
LShoulderRotationH1	10.313413	2.333445	
LElbowFlExt	18.110992	2.896519	
LElbowProSupination	6.266077	1.835150	
LWristFlExt	11.967572	2.482201	
LWristDeviation	8.854467	2.180922	
LScapProRetraction	4.305088	1.459798	
LScapRotation	4.968837	1.603186	
LScapTilting	5.591703	1.721284	
LTrunkFlExt	4.308964	1.460698	
LTrunkLateralFl	4.685163	1.544401	
LTrunkAxialRotation	5.438996	1.693594	
PS	9.152606	2.214039	


RMSE table VS and PS per angle:
	LElevationplaneH1	LShoulderElevationH1	LShoulderRotationH1	LElbowFlExt	LElbowProSupination	LWristFlExt	LWristDeviation	LScapProRetraction	LScapRotation	LScapTilting	LTrunkFlExt	LTrunkLateralFl	LTrunkAxialRotation	APS	
Mean	2.324757	2.585183	2.365517	2.738973	1.889992	2.543413	2.390839	1.596932	1.781014	1.804560	1.111664	1.336438	2.021702	2.258450	
StdDev	0.190508	0.318015	0.230910	0.292528	0.163029	0.277597	0.223237	0.121103	0.269650	0.109320	0.609999	0.225442	0.311645	0.178335	

MAP table::
MAP	LElevationplaneH1	LShoulderElevationH1	LShoulderRotationH1	LElbowFlExt	LElbowProSupination	LWristFlExt	LWristDeviation	LScapProRetraction	LScapRotation	LScapTilting	LTrunkFlExt	LTrunkLateralFl	LTrunkAxialRotation	APS	
Median	2.324757	2.585183	2.365517	2.738973	1.889992	2.543413	2.390839	1.596932	1.781014	1.804560	1.111664	1.336438	2.021702	2.258450	
IQR+	0.127640	0.213070	0.154710	0.195994	0.109229	0.185990	0.149569	0.081139	0.180665	0.073244	0.408700	0.151046	0.208802	0.119485	
IQR-	-0.127640	-0.213070	-0.154710	-0.195994	-0.109229	-0.185990	-0.149569	-0.081139	-0.180665	-0.073244	-0.408700	-0.151046	-0.208802	-0.119485	
Median	1.906559	1.951665	1.995570	2.607647	2.290717	2.445172	2.083363	1.579336	2.034288	1.512978	1.355248	0.803386	2.066179	2.217819	
IQR+	0.497846	0.639872	0.336527	0.257787	0.222795	0.355602	0.342071	0.167818	0.315073	0.269206	0.348125	0.441754	0.321076	0.116729	
IQR-	-0.497846	-0.639872	-0.336527	-0.257787	-0.222795	-0.355602	-0.342071	-0.167818	-0.315073	-0.269206	-0.348125	-0.441754	-0.321076	-0.116729	

MAP table (log-transformed)::
MAP	LElevationplaneH1	LShoulderElevationH1	LShoulderRotationH1	LElbowFlExt	LElbowProSupination	LWristFlExt	LWristDeviation	LScapProRetraction	LScapRotation	LScapTilting	LTrunkFlExt	LTrunkLateralFl	LTrunkAxialRotation	APS	
Median	10.224195	13.265715	10.649541	15.471088	6.619318	12.723026	10.922660	4.937860	5.935873	6.077299	3.039412	3.805463	7.551162	9.568250	
IQR+	1.391962	3.150228	1.781873	3.349789	0.763990	2.600715	1.762186	0.417356	1.175386	0.461836	1.534476	0.620482	1.753388	1.214362	
IQR-	1.225164	2.545698	1.526466	2.753585	0.684936	2.159327	1.517382	0.384830	0.981112	0.429218	1.019681	0.533495	1.422973	1.077598	
Median	6.729890	7.040398	7.356392	13.567095	9.882021	11.532531	8.031431	4.851733	7.646805	4.540231	3.877721	2.233089	7.894598	9.187274	
IQR+	4.341949	6.309871	2.943120	3.989576	2.466195	4.924843	3.275696	0.886515	2.832071	1.402588	1.614717	1.240330	2.988973	1.137524	
IQR-	2.639204	3.327574	2.102114	3.082985	1.973645	3.451091	2.326721	0.749555	2.066662	1.071558	1.140008	0.797418	2.168106	1.012198	


Task: RF, Context: General, Phase1

RMSE table for best cycles selection:
Angles:	Cycle 1	Cycle 2	Cycle 3	Cycle 4	Cycle 5	Cycle 6	
LElevationplaneH1	3.522180	3.633770	11.088500	8.502332	8.099813	9.164205	
LShoulderElevationH1	3.567881	4.638298	3.574470	3.198226	5.649926	1.930279	
LShoulderRotationH1	6.620451	4.374468	7.197787	7.589667	2.363828	3.157244	
LElbowFlExt	3.293021	7.231338	11.290641	5.634102	9.031223	15.876465	
LElbowProSupination	9.263345	7.394132	2.952806	8.154688	4.414859	2.795032	
LWristFlExt	4.483756	6.062419	9.264544	7.573474	5.886843	4.980461	
LWristDeviation	10.888307	11.482662	7.987222	9.117407	5.075411	2.451316	
LScapProRetraction	1.295107	3.086604	3.555232	1.935194	3.656065	3.955967	
LScapRotation	2.372456	3.792403	1.287331	1.648244	2.493366	2.585823	
LScapTilting	1.954966	2.304199	0.793808	1.439595	1.012122	2.211949	
LTrunkFlExt	6.034391	6.779946	2.711283	6.333341	1.307260	2.596582	
LTrunkLateralFl	1.239242	2.551859	1.624223	1.772446	1.696644	0.816568	
LTrunkAxialRotation	20.316891	16.393038	10.164371	11.836421	7.202118	7.770073	

RMSE table VS, best cycle 1:
Angles:	Raw AVS	ln(AVS)	
LElevationplaneH1	10.494240	2.350826	
LShoulderElevationH1	12.519090	2.527255	
LShoulderRotationH1	13.944108	2.635057	
LElbowFlExt	19.717436	2.981503	
LElbowProSupination	13.645621	2.613419	
LWristFlExt	6.422762	1.859848	
LWristDeviation	2.620349	0.963308	
LScapProRetraction	7.990048	2.078197	
LScapRotation	3.694980	1.306975	
LScapTilting	1.586488	0.461523	
LTrunkFlExt	2.410744	0.879936	
LTrunkLateralFl	6.692214	1.900945	
LTrunkAxialRotation	49.705065	3.906107	
PS	16.837675	2.823619	

RMSE table VS, best cycle 2:
Angles:	Raw AVS	ln(AVS)	
LElevationplaneH1	11.405876	2.434129	
LShoulderElevationH1	8.891471	2.185092	
LShoulderRotationH1	13.906688	2.632370	
LElbowFlExt	26.009379	3.258457	
LElbowProSupination	11.867386	2.473794	
LWristFlExt	4.687739	1.544950	
LWristDeviation	3.769541	1.326953	
LScapProRetraction	8.697883	2.163080	
LScapRotation	3.089573	1.128033	
LScapTilting	1.348162	0.298742	
LTrunkFlExt	1.368012	0.313358	
LTrunkLateralFl	7.412234	2.003132	
LTrunkAxialRotation	50.273567	3.917479	
PS	17.381058	2.855381	

RMSE table VS, best cycle 3:
Angles:	Raw AVS	ln(AVS)	
LElevationplaneH1	6.246069	1.831952	
LShoulderElevationH1	5.793061	1.756661	
LShoulderRotationH1	7.028112	1.949918	
LElbowFlExt	5.902059	1.775301	
LElbowProSupination	11.388545	2.432608	
LWristFlExt	14.916176	2.702446	
LWristDeviation	4.385655	1.478339	
LScapProRetraction	3.140092	1.144252	
LScapRotation	2.205565	0.790984	
LScapTilting	2.083470	0.734035	
LTrunkFlExt	1.546779	0.436174	
LTrunkLateralFl	8.826195	2.177724	
LTrunkAxialRotation	52.314876	3.957281	
PS	16.087341	2.778033	


RMSE table VS and PS per angle:
	LElevationplaneH1	LShoulderElevationH1	LShoulderRotationH1	LElbowFlExt	LElbowProSupination	LWristFlExt	LWristDeviation	LScapProRetraction	LScapRotation	LScapTilting	LTrunkFlExt	LTrunkLateralFl	LTrunkAxialRotation	APS	
Mean	2.205636	2.156336	2.405782	2.671754	2.506607	2.035748	1.256200	1.795176	1.075331	0.498100	0.543156	2.027267	3.926956	2.819011	
StdDev	0.326289	0.386101	0.394792	0.788604	0.094766	0.598460	0.264705	0.565312	0.262002	0.219939	0.298054	0.139959	0.026871	0.038880	

MAP table::
MAP	LElevationplaneH1	LShoulderElevationH1	LShoulderRotationH1	LElbowFlExt	LElbowProSupination	LWristFlExt	LWristDeviation	LScapProRetraction	LScapRotation	LScapTilting	LTrunkFlExt	LTrunkLateralFl	LTrunkAxialRotation	APS	
Median	2.205636	2.156336	2.405782	2.671754	2.506607	2.035748	1.256200	1.795176	1.075331	0.498100	0.543156	2.027267	3.926956	2.819011	
IQR+	0.218613	0.258688	0.264510	0.528365	0.063493	0.400968	0.177352	0.378759	0.175541	0.147359	0.199696	0.093773	0.018003	0.026049	
IQR-	-0.218613	-0.258688	-0.264510	-0.528365	-0.063493	-0.400968	-0.177352	-0.378759	-0.175541	-0.147359	-0.199696	-0.093773	-0.018003	-0.026049	
Median	1.744059	1.950011	1.906857	2.444075	2.206924	2.000647	1.886966	1.750316	1.552349	1.210548	0.564984	1.249697	4.180218	2.996130	
IQR+	0.403977	0.309092	0.512938	0.310273	0.326791	0.292427	0.377540	0.291965	0.312942	0.395804	0.275818	0.918824	0.232926	0.203092	
IQR-	-0.403977	-0.309092	-0.512938	-0.310273	-0.326791	-0.292427	-0.377540	-0.291965	-0.312942	-0.395804	-0.275818	-0.918824	-0.232926	-0.203092	

MAP table (log-transformed)::
MAP	LElevationplaneH1	LShoulderElevationH1	LShoulderRotationH1	LElbowFlExt	LElbowProSupination	LWristFlExt	LWristDeviation	LScapProRetraction	LScapRotation	LScapTilting	LTrunkFlExt	LTrunkLateralFl	LTrunkAxialRotation	APS	
Median	9.076021	8.639425	11.087093	14.465319	12.263249	7.657980	3.512050	6.020535	2.930961	1.645592	1.721431	7.593305	50.752236	16.760264	
IQR+	2.217727	2.550610	3.357095	10.070123	0.803886	3.777453	0.681520	2.772284	0.562426	0.261271	0.380491	0.746498	0.921991	0.442329	
IQR-	1.782237	1.969234	2.576844	5.937025	0.754431	2.529652	0.570762	1.898212	0.471877	0.225473	0.311614	0.679678	0.905540	0.430955	
